,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
league,season,team,player,,,,,,,,,,,,,,,
INT-World Cup,2014,Algeria,Abdelmoumene Djabou,Algeria,MF,27,1987,1.9,2,,,,,,,,0,0
INT-World Cup,2014,Algeria,Aïssa Mandi,Algeria,DF,22,1991,3.3,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Carl Medjani,Algeria,"DF,MF",29,1985,2.9,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Djamel Mesbah,Algeria,"DF,MF",29,1984,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Essaïd Belkalem,Algeria,DF,25,1989,2.4,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Faouzi Ghoulam,Algeria,DF,23,1991,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Hassan Yebda,Algeria,MF,30,1984,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Hillel Soudani,Algeria,"FW,MF",26,1987,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Islam Slimani,Algeria,FW,25,1988,3.6,2,,,,,,,,0,0
INT-World Cup,2014,Algeria,Madjid Bougherra,Algeria,DF,31,1982,2.2,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Mehdi Lacen,Algeria,MF,30,1984,1.7,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Mehdi Mostefa,Algeria,"DF,MF",30,1983,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Nabil Bentaleb,Algeria,MF,19,1994,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Nabil Ghilas,Algeria,"FW,MF",24,1990,0.4,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Rafik Halliche,Algeria,DF,27,1986,4.1,1,,,,,,,,0,0
INT-World Cup,2014,Algeria,Raïs M'Bolhi,Algeria,GK,28,1986,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Riyad Mahrez,Algeria,"FW,MF",23,1991,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Saphir Taïder,Algeria,MF,22,1992,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Algeria,Sofiane Feghouli,Algeria,"FW,MF",24,1989,4.3,1,,,,,,,,1,1
INT-World Cup,2014,Algeria,Yacine Brahimi,Algeria,"FW,MF",24,1990,2.1,1,,,,,,,,0,0
INT-World Cup,2014,Argentina,Enzo Pérez,Argentina,MF,28,1986,2.4,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Ezequiel Garay,Argentina,DF,27,1986,8.0,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Ezequiel Lavezzi,Argentina,"FW,MF",29,1985,3.9,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Federico Fernández,Argentina,DF,25,1989,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Fernando Gago,Argentina,MF,28,1986,4.2,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Gonzalo Higuaín,Argentina,"FW,MF",26,1987,6.3,1,,,,,,,,0,0
INT-World Cup,2014,Argentina,Hugo Campagnaro,Argentina,DF,33,1980,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Javier Mascherano,Argentina,"DF,MF",30,1984,8.0,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,José María Basanta,Argentina,DF,30,1984,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Lionel Messi,Argentina,"FW,MF",26,1987,7.7,4,,,,,,,,0,0
INT-World Cup,2014,Argentina,Lucas Biglia,Argentina,MF,28,1986,3.9,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Marcos Rojo,Argentina,DF,24,1990,6.8,1,,,,,,,,0,0
INT-World Cup,2014,Argentina,Martín Demichelis,Argentina,"DF,MF",33,1980,3.7,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Maxi Rodríguez,Argentina,"FW,MF",33,1981,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Pablo Zabaleta,Argentina,"DF,MF",29,1985,8.0,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Ricky Álvarez,Argentina,MF,26,1988,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Rodrigo Palacio,Argentina,"FW,MF",32,1982,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Sergio Agüero,Argentina,FW,26,1988,3.5,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Sergio Romero,Argentina,GK,27,1987,8.0,0,,,,,,,,0,0
INT-World Cup,2014,Argentina,Ángel Di María,Argentina,"FW,MF",26,1988,4.7,1,,,,,,,,0,0
INT-World Cup,2014,Australia,Adam Taggart,Australia,FW,21,1993,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Alex Wilkinson,Australia,DF,29,1984,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Ben Halloran,Australia,"FW,MF",22,1992,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Ivan Franjic,Australia,"DF,FW",26,1987,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Australia,James Troisi,Australia,"FW,MF",25,1988,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Jason Davidson,Australia,"DF,MF",22,1991,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Mark Bresciano,Australia,MF,34,1980,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Mark Milligan,Australia,"DF,MF",28,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Mathew Leckie,Australia,"FW,MF",23,1991,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Mathew Ryan,Australia,GK,22,1992,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Matt McKay,Australia,"DF,MF",31,1983,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Matthew Spiranovic,Australia,"DF,MF",25,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Mile Jedinak,Australia,MF,29,1984,3.0,1,,,,,,,,1,1
INT-World Cup,2014,Australia,Oliver Bozanic,Australia,MF,25,1989,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Ryan McGowan,Australia,"DF,MF",24,1989,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Australia,Tim Cahill,Australia,"FW,MF",34,1979,1.8,2,,,,,,,,0,0
INT-World Cup,2014,Australia,Tommy Oar,Australia,"FW,MF",22,1991,2.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Adnan Januzaj,Belgium,"FW,MF",19,1995,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Anthony Vanden Borre,Belgium,"DF,MF",26,1987,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Axel Witsel,Belgium,"DF,MF",25,1989,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Daniel Van Buyten,Belgium,DF,36,1978,5.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Divock Origi,Belgium,"FW,MF",19,1995,2.7,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Dries Mertens,Belgium,"FW,MF",27,1987,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Eden Hazard,Belgium,"FW,MF",23,1991,4.1,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Jan Vertonghen,Belgium,DF,27,1987,5.0,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Kevin De Bruyne,Belgium,"FW,MF",22,1991,4.3,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Kevin Mirallas,Belgium,"FW,MF",26,1987,2.5,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Marouane Fellaini,Belgium,MF,26,1987,4.6,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Mousa Dembélé,Belgium,MF,26,1987,1.7,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Nacer Chadli,Belgium,"FW,MF",24,1989,1.1,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Nicolas Lombaerts,Belgium,DF,29,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Romelu Lukaku,Belgium,FW,21,1993,1.9,1,,,,,,,,0,0
INT-World Cup,2014,Belgium,Steven Defour,Belgium,MF,26,1988,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Thibaut Courtois,Belgium,GK,22,1992,5.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Thomas Vermaelen,Belgium,DF,28,1985,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Toby Alderweireld,Belgium,DF,25,1989,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Belgium,Vincent Kompany,Belgium,DF,28,1986,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Anel Hadžić,Bosnia & Herz.,"DF,MF",24,1989,0.7,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Asmir Begović,Bosnia & Herz.,GK,26,1987,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Avdija Vršajević,Bosnia & Herz.,"DF,MF",28,1986,1.0,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Edin Džeko,Bosnia & Herz.,FW,28,1986,2.9,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Edin Višća,Bosnia & Herz.,"DF,FW",24,1990,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Emir Spahić,Bosnia & Herz.,DF,33,1980,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Ermin Bičakčić,Bosnia & Herz.,DF,24,1990,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Haris Medunjanin,Bosnia & Herz.,MF,29,1985,0.9,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Izet Hajrović,Bosnia & Herz.,MF,22,1991,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Mensur Mujdža,Bosnia & Herz.,"DF,MF",30,1984,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Miralem Pjanić,Bosnia & Herz.,MF,24,1990,3.0,1,,,,,,,,0,0
INT-World Cup,2014,Bosnia & Herz.,Muhamed Bešić,Bosnia & Herz.,"DF,MF",21,1992,3.0,0,,,,,,,,0,0
